,Country Name,Year,Value
250,Chad,1987,
251,Chile,1987,17.64481926
252,China,1987,3.157269955
253,Colombia,1987,12.04423046
254,"Congo, Dem. Rep.",1987,1.6141899819999999
255,"Congo, Rep.",1987,5.707709789
256,Costa Rica,1987,24.73472023
257,Cote d'Ivoire,1987,2.682529926
258,Cuba,1987,21.9482193
259,Cyprus,1987,5.429480076
260,Czech Republic,1987,16.46445084
261,Denmark,1987,29.63172913
262,Dominica,1987,
263,Ecuador,1987,
264,"Egypt, Arab Rep.",1987,18.79256058
265,El Salvador,1987,
266,Fiji,1987,
267,Finland,1987,36.08156967
268,France,1987,29.97680092
269,Greece,1987,25.95046997
270,Guatemala,1987,
271,Guinea,1987,1.49406004
272,Guyana,1987,
273,Honduras,1987,8.33728981
274,Hungary,1987,15.67918968
275,Iceland,1987,21.58485985
276,India,1987,6.346849917999999
277,Indonesia,1987,7.589809895
278,Iraq,1987,10.87320995
279,Ireland,1987,24.24700928
280,Italy,1987,24.83555031
281,Japan,1987,28.48558998
282,Jordan,1987,20.89950943
283,Kenya,1987,1.4614599940000002
284,"Korea, Rep.",1987,35.24647903
285,Kuwait,1987,15.89227962
286,Lao PDR,1987,
287,Latvia,1987,23.09608078
288,Lebanon,1987,32.118640899999995
289,Lesotho,1987,1.531579971
290,Libya,1987,
291,Luxembourg,1987,2.438940048
292,"Macedonia, FYR",1987,20.34148026
293,Madagascar,1987,3.582299948
294,Malawi,1987,0.462269992
295,Malaysia,1987,7.135970116
296,Mali,1987,0.7992399929999999
297,Malta,1987,5.780970097000001
298,Mauritania,1987,3.035860062
299,Mauritius,1987,1.406679988
300,Mongolia,1987,22.67358971
301,Mozambique,1987,0.20387999699999998
302,Myanmar,1987,6.228219986
303,Nepal,1987,5.000070095
304,Netherlands,1987,31.10819054
305,New Zealand,1987,36.47322083
306,Nicaragua,1987,7.383269787000001
307,Niger,1987,0.573210001
308,Nigeria,1987,3.481280088
309,Norway,1987,32.05004883
310,Oman,1987,1.702870011
311,Panama,1987,23.38779068
312,Papua New Guinea,1987,
313,Paraguay,1987,8.251070022999999
314,Peru,1987,26.46632004
315,Philippines,1987,23.37438011
316,Poland,1987,17.40545082
317,Portugal,1987,16.29096985
318,Qatar,1987,17.96931076
319,Romania,1987,9.914259911
320,Russian Federation,1987,
321,Rwanda,1987,
322,Saudi Arabia,1987,
323,Senegal,1987,
324,Sierra Leone,1987,
325,Slovenia,1987,
326,Spain,1987,
327,Sri Lanka,1987,
328,St. Kitts and Nevis,1987,
329,St. Lucia,1987,
330,Suriname,1987,
331,Swaziland,1987,
332,Sweden,1987,
333,Switzerland,1987,
334,Syrian Arab Republic,1987,
335,Tanzania,1987,
336,Thailand,1987,
337,Tonga,1987,
338,Trinidad and Tobago,1987,
339,Tunisia,1987,
340,Turkey,1987,
341,Uganda,1987,
342,Ukraine,1987,
343,United Arab Emirates,1987,
344,United Kingdom,1987,
345,United States,1987,
346,"Venezuela, RB",1987,
347,Zimbabwe,1987,
348,Albania,1988,7.738810062000001
349,Argentina,1988,
350,Australia,1988,31.27886963
351,Austria,1988,29.40320969
352,"Bahamas, The",1988,20.94272041
353,Bahrain,1988,13.29312992
354,Bangladesh,1988,3.600169897
355,Barbados,1988,
356,Belarus,1988,46.70534134
357,Belgium,1988,34.3397789
358,Benin,1988,2.188829899
359,Botswana,1988,
360,Bulgaria,1988,22.58201027
361,Burkina Faso,1988,0.678569973
362,Burundi,1988,0.742799997
363,Cambodia,1988,
364,Cameroon,1988,2.513639927
365,Central African Republic,1988,1.1417200570000001
366,Chad,1988,
367,Chile,1988,18.404199600000002
368,China,1988,3.12477994
369,Colombia,1988,12.71378994
370,"Congo, Dem. Rep.",1988,1.812469959
371,"Congo, Rep.",1988,6.035620213
372,Costa Rica,1988,24.73263931
373,Cote d'Ivoire,1988,
374,Cuba,1988,22.65875053
375,Cyprus,1988,6.7550997729999995
376,Czech Republic,1988,16.4979496
377,Denmark,1988,30.61252022
378,Dominica,1988,
379,Ecuador,1988,28.2625103
380,"Egypt, Arab Rep.",1988,18.46659088
381,El Salvador,1988,16.37812042
382,Fiji,1988,
383,Finland,1988,38.13050079
384,France,1988,30.93821907
385,Greece,1988,24.53198051
386,Guatemala,1988,
387,Guinea,1988,1.284980059
388,Guyana,1988,4.464449883
389,Honduras,1988,9.294389725
390,Hungary,1988,15.28649998
391,Iceland,1988,21.774190899999997
392,India,1988,5.5446200370000005
393,Indonesia,1988,6.863800049
394,Iraq,1988,11.16154957
395,Ireland,1988,25.63986015
396,Italy,1988,26.48111916
397,Japan,1988,29.24832916
398,Jordan,1988,18.54803085
399,Kenya,1988,
400,"Korea, Rep.",1988,35.70053101
401,Kuwait,1988,15.75866032
402,Lao PDR,1988,1.363309979
403,Latvia,1988,23.56458092
404,Lebanon,1988,
405,Lesotho,1988,1.6246800419999998
406,Libya,1988,
407,Luxembourg,1988,
408,"Macedonia, FYR",1988,19.41437912
409,Madagascar,1988,3.5918600560000002
410,Malawi,1988,0.441709995
411,Malaysia,1988,7.215149879
412,Mali,1988,
413,Malta,1988,5.929359913
